screen_name;username;user_id;tweet_id;tweet_url;timestamp;timestamp_epochs;text;mengandung pelecehan;text_html;links;hashtags;has_media;img_urls;video_url;likes;retweets;replies;is_replied;is_reply_to;parent_tweet_id;reply_to_users
BimaBurhanuddin;Burhanuddin Bima;3058961791;1,12E+18;/BimaBurhanuddin/status/1124100611925000193;02/05/2019 23:57;1556841445;Apa yg bisa diharapkan dari politisi gaya pelacur, pramagtis, tidak jelas warna politiknya, tidak punya prinsip dlm berpolitik, sama saja tdk memiliki integritas yg cukup, saya meyakini politisi model begini tdk akan disukai rakyat;1;"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""in"">Apa yg bisa diharapkan dari politisi gaya <strong>pelacur</strong>, pramagtis, tidak jelas warna politiknya, tidak punya prinsip dlm berpolitik, sama saja tdk memiliki integritas yg cukup, saya meyakini politisi model begini tdk akan disukai rakyat</p>";[];[];FALSE;[];;0;0;0;FALSE;FALSE;;[]
ngowatchindo;Waw Lam'alif;8,95E+17;1,12E+18;/ngowatchindo/status/1124099972046163968;02/05/2019 23:54;1556841292;"Kalau sy jadi ⁦@DennyJA_WORLD⁩ , Syahganda akan saya gugat, kecuali jika Syahganda mmg benar dan sy mmg pelacur intlektual

Syahganda Buka-bukaan Propaganda Hasil Survei Denny JA Di Depan Bawaslu https://politik.rmol.co/read/2019/04/24/387417/Syahganda-Buka-bukaan-Propaganda-Hasil-Survei-Denny-JA-Di-Depan-Bawaslu- …";1;"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""in"">Kalau sy jadi ⁦<a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""194083131"" dir=""ltr"" href=""/DennyJA_WORLD""><s>@</s><b>DennyJA_WORLD</b></a>⁩ , Syahganda akan saya gugat, kecuali jika Syahganda mmg benar dan sy mmg <strong>pelacur</strong> intlektual

Syahganda Buka-bukaan Propaganda Hasil Survei Denny JA Di Depan Bawaslu <a class=""twitter-timeline-link"" data-expanded-url=""https://politik.rmol.co/read/2019/04/24/387417/Syahganda-Buka-bukaan-Propaganda-Hasil-Survei-Denny-JA-Di-Depan-Bawaslu-"" dir=""ltr"" href=""https://t.co/AEqI0Nlb7N"" rel=""nofollow noopener"" target=""_blank"" title=""https://politik.rmol.co/read/2019/04/24/387417/Syahganda-Buka-bukaan-Propaganda-Hasil-Survei-Denny-JA-Di-Depan-Bawaslu-""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">politik.rmol.co/read/2019/04/2</span><span class=""invisible"">4/387417/Syahganda-Buka-bukaan-Propaganda-Hasil-Survei-Denny-JA-Di-Depan-Bawaslu-</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>";['https://politik.rmol.co/read/2019/04/24/387417/Syahganda-Buka-bukaan-Propaganda-Hasil-Survei-Denny-JA-Di-Depan-Bawaslu-'];[];FALSE;[];;1;1;0;FALSE;FALSE;;[]
socmed_anak;AnakSocmed;174945628;1,12E+18;/socmed_anak/status/1124098250083131393;02/05/2019 23:48;1556840882;Di @PDemokrat banyak org2 yg punya akal sehat demi kemajuan bangsa, tapi ada beberapa orang begundal disertai pelacur politik yg grasak grusuk salah satunya @Ferdinand_Haean. Tidak heran!!https://twitter.com/FerdinandHaean2/status/1123878850784575490 …;1;"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""in"">Di <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""248199104"" dir=""ltr"" href=""/PDemokrat""><s>@</s><b>PDemokrat</b></a> banyak org2 yg punya akal sehat demi kemajuan bangsa, tapi ada beberapa orang begundal disertai <strong>pelacur</strong> politik yg grasak grusuk salah satunya <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1006771503956979712"" dir=""ltr"" href=""/Ferdinand_Haean""><s>@</s><b>Ferdinand_Haean</b></a>. Tidak heran!!<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/FerdinandHaean2/status/1123878850784575490"" dir=""ltr"" href=""https://t.co/YoM2kCQe5y"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/FerdinandHaean2/status/1123878850784575490""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/FerdinandHaean</span><span class=""invisible"">2/status/1123878850784575490</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>";['https://twitter.com/FerdinandHaean2/status/1123878850784575490'];[];FALSE;[];;0;0;0;FALSE;FALSE;;[]
PelajaranOnline;PelajaranOnline;589466301;1,12E+18;/PelajaranOnline/status/1124087714154975232;02/05/2019 23:06;1556838370;Cypridophobia adalah fobia atau takut pada pelacur atau penularan penyakit kelamin;0;"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""in"">Cypridophobia adalah fobia atau takut pada <strong>pelacur</strong> atau penularan penyakit kelamin</p>";[];[];FALSE;[];;0;0;0;FALSE;FALSE;;[]
Lee_Botak;Lee Botak;509046818;1,12E+18;/Lee_Botak/status/1124084310640869379;02/05/2019 22:52;1556837558;"Yang RAMAI kerja waktu malam ni biasanya PELACUR.

Siapalah yang bagi idea suh kerja malam tu?

#TakFahamTakApa";1;"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""in"">Yang RAMAI kerja waktu malam ni biasanya <strong>PELACUR</strong>.

Siapalah yang bagi idea suh kerja malam tu?

<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/TakFahamTakApa?src=hash""><s>#</s><b>TakFahamTakApa</b></a></p>";[];['TakFahamTakApa'];FALSE;[];;0;0;0;FALSE;FALSE;;[]
GayaAmanah;Amanah Gaya Hidup Kita;1,11E+18;1,12E+18;/GayaAmanah/status/1124076072125988866;02/05/2019 22:19;1556835594;"Pelacur Intlektual
#KPUCurangRakyatMelawan
#KPUNgejarQuickCounthttps://twitter.com/SuwandaBen/status/1123805929210810368 …";1;"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""in""><strong>Pelacur</strong> Intlektual
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/KPUCurangRakyatMelawan?src=hash""><s>#</s><b>KPUCurangRakyatMelawan</b></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/KPUNgejarQuickCount?src=hash""><s>#</s><b>KPUNgejarQuickCount</b></a><a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/SuwandaBen/status/1123805929210810368"" dir=""ltr"" href=""https://t.co/gXKouCClAD"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/SuwandaBen/status/1123805929210810368""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/SuwandaBen/sta</span><span class=""invisible"">tus/1123805929210810368</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>";['https://twitter.com/SuwandaBen/status/1123805929210810368'];['KPUCurangRakyatMelawan', 'KPUNgejarQuickCounthttps'];FALSE;[];;0;0;0;FALSE;FALSE;;[]
Kopipahitgitulo;dekonstruksINDONESIA;9,86E+17;1,12E+18;/Kopipahitgitulo/status/1124072991988551680;02/05/2019 22:07;1556834860;"Lembaga Pelacur LSI DennyJA dan Germo @Metro_TV rupanya mengejar target ""Diatas 50% Propinsi"" dlm opini publik, simultan dg operasi perampokan suara dimana-mana.

Hina betul hidup merekahttps://twitter.com/Metro_TV/status/1123983002730737664 …";1;"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""in"">Lembaga <strong>Pelacur</strong> LSI DennyJA dan Germo <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""57261519"" dir=""ltr"" href=""/Metro_TV""><s>@</s><b>Metro_TV</b></a> rupanya mengejar target ""Diatas 50% Propinsi"" dlm opini publik, simultan dg operasi perampokan suara dimana-mana.

Hina betul hidup mereka<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/Metro_TV/status/1123983002730737664"" dir=""ltr"" href=""https://t.co/zfVgnbXWQd"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/Metro_TV/status/1123983002730737664""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/Metro_TV/statu</span><span class=""invisible"">s/1123983002730737664</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>";['https://twitter.com/Metro_TV/status/1123983002730737664'];[];FALSE;[];;0;0;0;FALSE;FALSE;;[]
wmasyruli;ozil;308370621;1,12E+18;/wmasyruli/status/1124072141954088970;02/05/2019 22:04;1556834657;Bangunlah!!! Gaada orang yang sukses di kasur kecuali pelacur #selfreminder;1;"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""in"">Bangunlah!!! Gaada orang yang sukses di kasur kecuali <strong>pelacur</strong> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/selfreminder?src=hash""><s>#</s><b>selfreminder</b></a></p>";[];['selfreminder'];FALSE;[];;0;1;0;FALSE;FALSE;;[]
MorotaiDive;dive morotai lover;1,08E+18;1,12E+18;/MorotaiDive/status/1124070154877513728;02/05/2019 21:56;1556834183;abaikan semua pelacur agama! hidup NKRI! hidup Presiden Joko Widodo;1;"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""in"">abaikan semua <strong>pelacur</strong> agama! hidup NKRI! hidup Presiden Joko Widodo</p>";[];[];FALSE;[];;0;0;0;FALSE;TRUE;1,12E+18;[{'screen_name': '2019_bento', 'user_id': '1092443048548589570'}]
MorotaiDive;dive morotai lover;1,08E+18;1,12E+18;/MorotaiDive/status/1124068871462359046;02/05/2019 21:51;1556833877;"mungkin sudah saatnya kita semua membersihkan segala jenis kotoran bangsa secara massive!
diawali dengan para laknat pelacur agama dan biadab yg mengancam keselamatan NKRI!";1;"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""in"">mungkin sudah saatnya kita semua membersihkan segala jenis kotoran bangsa secara massive!
diawali dengan para laknat <strong>pelacur</strong> agama dan biadab yg mengancam keselamatan NKRI!</p>";[];[];FALSE;[];;3;0;1;TRUE;FALSE;;[]
